车型,销售时间,销量,最低售价,最高售价
缤智,2020-8-1 0:0:0,32197,127800.0,176800.0
昂科威,2020-8-1 0:0:0,32102,189899.99999999997,279900.0
途岳,2020-8-1 0:0:0,31905,165799.99999999997,223800.0
逸动,2020-8-1 0:0:0,30757,72900.0,103900.0
奔驰GLC,2020-8-1 0:0:0,30636,394799.99999999994,587800.0
途观L,2020-8-1 0:0:0,30593,215799.99999999997,285800.0
皓影,2020-8-1 0:0:0,30562,169800.0,252800.0
奔驰C级,2020-8-1 0:0:0,29949,307800.0,474799.99999999994
宝马5系,2020-8-1 0:0:0,28524,421900.0,549900.0
奥迪A4L,2020-8-1 0:0:0,27337,305800.0,396800.0
帕萨特,2020-8-1 0:0:0,27045,185900.0,282900.0
五菱荣光V,2020-8-1 0:0:0,26927,39800.0,49800.00000000001
君威,2020-8-1 0:0:0,26859,188800.0,249800.0
哈弗M6,2020-8-1 0:0:0,26317,66000.0,92899.99999999999
奔驰E级,2020-8-1 0:0:0,26280,430800.0,642800.0
荣威Ei5,2020-8-1 0:0:0,25928,128800.00000000001,161100.0
逍客,2020-8-1 0:0:0,25804,154900.0,188900.0
瑞虎8,2020-8-1 0:0:0,25072,88800.00000000001,159900.0
RAV4荣放,2020-8-1 0:0:0,24753,174800.0,259800.0
传祺GS4,2020-8-1 0:0:0,24475,89800.0,139800.0
宝骏530,2020-8-1 0:0:0,23402,70800.0,105800.0
长安CS55,2020-8-1 0:0:0,23007,82899.99999999999,133900.0
天籁,2020-8-1 0:0:0,22952,179800.0,269800.0
轩逸,2020-9-1 0:0:0,113726,99800.0,143000.0
哈弗H6,2020-9-1 0:0:0,93209,98000.0,154900.0
朗逸,2020-9-1 0:0:0,80579,99900.0,161900.0
宝来,2020-9-1 0:0:0,75903,98800.00000000001,157000.0
速腾,2020-9-1 0:0:0,69599,129900.0,192900.0
卡罗拉,2020-9-1 0:0:0,68394,109800.0,159800.0
英朗,2020-9-1 0:0:0,65625,119900.0,125900.0
本田CR-V,2020-9-1 0:0:0,61463,169800.0,276800.0
五菱宏光,2020-9-1 0:0:0,60076,45800.0,58800.0
雷凌,2020-9-1 0:0:0,46493,113800.00000000001,152800.0
雅阁,2020-9-1 0:0:0,46489,179800.0,259800.0
长安CS75 PLUS,2020-9-1 0:0:0,46011,106900.0,154900.0
博越,2020-9-1 0:0:0,45987,89800.0,146800.0
宏光MINIEV,2020-9-1 0:0:0,43912,28800.0,43600.0
帝豪,2020-9-1 0:0:0,41336,62800.0,91800.0
探岳,2020-9-1 0:0:0,37930,186900.0,264900.0
迈腾,2020-9-1 0:0:0,37568,186900.0,309900.0
思域,2020-9-1 0:0:0,36999,119900.0,169899.99999999997
逍客,2020-9-1 0:0:0,36404,154900.0,188900.0
途观L,2020-9-1 0:0:0,35709,215799.99999999997,285800.0
本田XR-V,2020-9-1 0:0:0,35101,127899.99999999999,175900.0
凯美瑞,2020-9-1 0:0:0,34982,179800.0,279800.0
奇骏,2020-9-1 0:0:0,34916,188800.0,273300.0
别克GL8,2020-9-1 0:0:0,34541,232900.0,533900.0
途岳,2020-9-1 0:0:0,34194,165799.99999999997,223800.0
桑塔纳,2020-9-1 0:0:0,34019,86900.0,115900.0
奥迪A6L,2020-9-1 0:0:0,33037,419799.99999999994,653800.0
奥迪Q5L,2020-9-1 0:0:0,32954,387800.0,498000.0
昂科威,2020-9-1 0:0:0,31879,189899.99999999997,279900.0
逸动,2020-9-1 0:0:0,31824,72900.0,103900.0
RAV4荣放,2020-9-1 0:0:0,31721,174800.0,259800.0
哈弗M6,2020-9-1 0:0:0,31458,66000.0,92899.99999999999
缤智,2020-9-1 0:0:0,30456,127800.0,176800.0
荣威Ei5,2020-9-1 0:0:0,30212,128800.00000000001,161100.0
宝骏530,2020-9-1 0:0:0,29925,70800.0,105800.0
君威,2020-9-1 0:0:0,29462,188800.0,249800.0
帕萨特,2020-9-1 0:0:0,29426,185900.0,282900.0
皓影,2020-9-1 0:0:0,29255,169800.0,252800.0
瑞虎8,2020-9-1 0:0:0,29167,88800.00000000001,159900.0
奥迪A4L,2020-9-1 0:0:0,28755,305800.0,396800.0
宝马3系,2020-9-1 0:0:0,28578,293900.0,409900.0
荣威RX5,2020-9-1 0:0:0,28536,99800.0,139800.0
宋,2020-9-1 0:0:0,28517,69800.0,93800.00000000001
奔驰GLC,2020-9-1 0:0:0,27836,394799.99999999994,587800.0
科鲁泽,2020-9-1 0:0:0,27560,89900.0,122899.99999999999
奔驰C级,2020-9-1 0:0:0,26450,307800.0,474799.99999999994
长安CS55,2020-9-1 0:0:0,26391,82899.99999999999,133900.0
奔驰E级,2020-9-1 0:0:0,26280,430800.0,642800.0
缤越,2020-9-1 0:0:0,26017,75800.0,119800.0
哈弗F7,2020-9-1 0:0:0,25691,111800.0,151800.0
轩逸,2020-10-1 0:0:0,110671,99800.0,143000.0
哈弗H6,2020-10-1 0:0:0,107735,98000.0,154900.0
朗逸,2020-10-1 0:0:0,89262,99900.0,161900.0
宝来,2020-10-1 0:0:0,82161,98800.00000000001,157000.0
英朗,2020-10-1 0:0:0,74229,119900.0,125900.0
速腾,2020-10-1 0:0:0,70590,129900.0,192900.0
五菱宏光,2020-10-1 0:0:0,65192,45800.0,58800.0
卡罗拉,2020-10-1 0:0:0,64426,109800.0,159800.0
本田CR-V,2020-10-1 0:0:0,60733,169800.0,276800.0
宏光MINIEV,2020-10-1 0:0:0,52008,28800.0,43600.0
博越,2020-10-1 0:0:0,51198,89800.0,146800.0
长安CS75 PLUS,2020-10-1 0:0:0,50060,106900.0,154900.0
雅阁,2020-10-1 0:0:0,48088,179800.0,259800.0
思域,2020-10-1 0:0:0,46047,119900.0,169899.99999999997
雷凌,2020-10-1 0:0:0,43179,113800.00000000001,152800.0
迈腾,2020-10-1 0:0:0,43063,186900.0,309900.0
帝豪,2020-10-1 0:0:0,42732,62800.0,91800.0
逍客,2020-10-1 0:0:0,39526,154900.0,188900.0
奇骏,2020-10-1 0:0:0,39453,188800.0,273300.0
探岳,2020-10-1 0:0:0,39446,186900.0,264900.0
昂科威,2020-10-1 0:0:0,38030,189899.99999999997,279900.0
瑞虎8,2020-10-1 0:0:0,37076,88800.00000000001,159900.0
哈弗M6,2020-10-1 0:0:0,36691,66000.0,92899.99999999999
途观L,2020-10-1 0:0:0,36644,215799.99999999997,285800.0
别克GL8,2020-10-1 0:0:0,35912,232900.0,533900.0
凯美瑞,2020-10-1 0:0:0,35610,179800.0,279800.0
宋,2020-10-1 0:0:0,34753,69800.0,93800.00000000001
桑塔纳,2020-10-1 0:0:0,34101,86900.0,115900.0
逸动,2020-10-1 0:0:0,33467,72900.0,103900.0
荣威Ei5,2020-10-1 0:0:0,32653,128800.00000000001,161100.0
RAV4荣放,2020-10-1 0:0:0,32575,174800.0,259800.0
奥迪A6L,2020-10-1 0:0:0,32438,419799.99999999994,653800.0
奥迪Q5L,2020-10-1 0:0:0,31842,387800.0,498000.0
本田XR-V,2020-10-1 0:0:0,30063,127899.99999999999,175900.0
缤智,2020-10-1 0:0:0,29942,127800.0,176800.0
缤越,2020-10-1 0:0:0,29236,75800.0,119800.0
途岳,2020-10-1 0:0:0,29215,165799.99999999997,223800.0
宝马3系,2020-10-1 0:0:0,28797,293900.0,409900.0
奥迪A4L,2020-10-1 0:0:0,28768,305800.0,396800.0
科鲁泽,2020-10-1 0:0:0,28551,89900.0,122899.99999999999
天籁,2020-10-1 0:0:0,28032,179800.0,269800.0
君威,2020-10-1 0:0:0,27788,188800.0,249800.0
长安CS55,2020-10-1 0:0:0,27735,82899.99999999999,133900.0
奔驰GLC,2020-10-1 0:0:0,27525,394799.99999999994,587800.0
皓影,2020-10-1 0:0:0,27328,169800.0,252800.0
奔驰E级,2020-10-1 0:0:0,26346,430800.0,642800.0
宝马5系,2020-10-1 0:0:0,26194,421900.0,549900.0
哈弗F7,2020-10-1 0:0:0,25177,111800.0,151800.0
奔驰C级,2020-10-1 0:0:0,24948,307800.0,474799.99999999994
荣威RX5,2020-10-1 0:0:0,24526,99800.0,139800.0
轩逸,2020-11-1 0:0:0,116809,99800.0,143000.0
哈弗H6,2020-11-1 0:0:0,110633,98000.0,154900.0
朗逸,2020-11-1 0:0:0,84647,99900.0,161900.0
英朗,2020-11-1 0:0:0,82673,119900.0,125900.0
宝来,2020-11-1 0:0:0,74871,98800.00000000001,157000.0
五菱宏光,2020-11-1 0:0:0,73004,45800.0,58800.0
本田CR-V,2020-11-1 0:0:0,69034,169800.0,276800.0
卡罗拉,2020-11-1 0:0:0,67697,109800.0,159800.0
速腾,2020-11-1 0:0:0,61505,129900.0,192900.0
宏光MINIEV,2020-11-1 0:0:0,60343,28800.0,43600.0
博越,2020-11-1 0:0:0,56202,89800.0,146800.0
思域,2020-11-1 0:0:0,51397,119900.0,169899.99999999997
长安CS75 PLUS,2020-11-1 0:0:0,45484,106900.0,154900.0
昂科威,2020-11-1 0:0:0,44304,189899.99999999997,279900.0
雷凌,2020-11-1 0:0:0,44004,113800.00000000001,152800.0
奇骏,2020-11-1 0:0:0,43699,188800.0,273300.0
雅阁,2020-11-1 0:0:0,43515,179800.0,259800.0
帝豪,2020-11-1 0:0:0,43430,62800.0,91800.0
瑞虎8,2020-11-1 0:0:0,42753,88800.00000000001,159900.0
迈腾,2020-11-1 0:0:0,41306,186900.0,309900.0
途观L,2020-11-1 0:0:0,40589,215799.99999999997,285800.0
哈弗M6,2020-11-1 0:0:0,40530,66000.0,92899.99999999999
本田XR-V,2020-11-1 0:0:0,38975,127899.99999999999,175900.0
宋,2020-11-1 0:0:0,38519,69800.0,93800.00000000001
RAV4荣放,2020-11-1 0:0:0,38403,174800.0,259800.0
别克GL8,2020-11-1 0:0:0,38184,232900.0,533900.0
探岳,2020-11-1 0:0:0,37155,186900.0,264900.0
桑塔纳,2020-11-1 0:0:0,36862,86900.0,115900.0
凯美瑞,2020-11-1 0:0:0,36656,179800.0,279800.0
逍客,2020-11-1 0:0:0,35613,154900.0,188900.0
汉,2020-11-1 0:0:0,34283,219800.0,279500.0
奥迪A6L,2020-11-1 0:0:0,33943,419799.99999999994,653800.0
皓影,2020-11-1 0:0:0,33848,169800.0,252800.0
荣威Ei5,2020-11-1 0:0:0,33636,128800.00000000001,161100.0
天籁,2020-11-1 0:0:0,33211,179800.0,269800.0
宝马5系,2020-11-1 0:0:0,32784,421900.0,549900.0
捷途X70,2020-11-1 0:0:0,31506,69900.0,122899.99999999999
伊兰特,2020-11-1 0:0:0,31195,99800.0,141800.0
缤智,2020-11-1 0:0:0,30380,127800.0,176800.0
缤越,2020-11-1 0:0:0,29773,75800.0,119800.0
奔驰GLC,2020-11-1 0:0:0,29602,394799.99999999994,587800.0
宝马3系,2020-11-1 0:0:0,29092,293900.0,409900.0
逸动,2020-11-1 0:0:0,29031,72900.0,103900.0
君威,2020-11-1 0:0:0,28736,188800.0,249800.0
荣威RX5,2020-11-1 0:0:0,28547,99800.0,139800.0
名爵ZS,2020-11-1 0:0:0,28494,78800.0,112800.0
科鲁泽,2020-11-1 0:0:0,28347,89900.0,122899.99999999999
奔驰E级,2020-11-1 0:0:0,27217,430800.0,642800.0
五菱荣光V,2020-11-1 0:0:0,27059,39800.0,49800.00000000001
奥迪Q5L,2020-11-1 0:0:0,27050,387800.0,498000.0
轩逸,2020-12-1 0:0:0,120316,99800.0,143000.0
哈弗H6,2020-12-1 0:0:0,102000,98000.0,154900.0
朗逸,2020-12-1 0:0:0,78692,99900.0,161900.0
英朗,2020-12-1 0:0:0,69631,119900.0,125900.0
卡罗拉,2020-12-1 0:0:0,69033,109800.0,159800.0
宏光MINIEV,2020-12-1 0:0:0,68859,28800.0,43600.0
宝来,2020-12-1 0:0:0,65756,98800.00000000001,157000.0
速腾,2020-12-1 0:0:0,64256,129900.0,192900.0
本田CR-V,2020-12-1 0:0:0,63689,169800.0,276800.0
博越,2020-12-1 0:0:0,60263,89800.0,146800.0
长安CS75 PLUS,2020-12-1 0:0:0,50197,106900.0,154900.0
雷凌,2020-12-1 0:0:0,50170,113800.00000000001,152800.0
汉,2020-12-1 0:0:0,48384,219800.0,279500.0
五菱宏光,2020-12-1 0:0:0,47391,45800.0,58800.0
帝豪,2020-12-1 0:0:0,45537,62800.0,91800.0
迈腾,2020-12-1 0:0:0,41850,186900.0,309900.0
本田XR-V,2020-12-1 0:0:0,40883,127899.99999999999,175900.0
雅阁,2020-12-1 0:0:0,38967,179800.0,259800.0
桑塔纳,2020-12-1 0:0:0,38849,86900.0,115900.0
RAV4荣放,2020-12-1 0:0:0,38676,174800.0,259800.0
昂科威,2020-12-1 0:0:0,38480,189899.99999999997,279900.0
别克GL8,2020-12-1 0:0:0,37778,232900.0,533900.0
凯美瑞,2020-12-1 0:0:0,37690,179800.0,279800.0
皓影,2020-12-1 0:0:0,37363,169800.0,252800.0
瑞虎8,2020-12-1 0:0:0,36939,88800.00000000001,159900.0
思域,2020-12-1 0:0:0,36854,119900.0,169899.99999999997
哈弗M6,2020-12-1 0:0:0,36825,66000.0,92899.99999999999
伊兰特,2020-12-1 0:0:0,36394,99800.0,141800.0
逍客,2020-12-1 0:0:0,36010,154900.0,188900.0
宝马5系,2020-12-1 0:0:0,35632,421900.0,549900.0
缤智,2020-12-1 0:0:0,35632,127800.0,176800.0
宋,2020-12-1 0:0:0,34018,69800.0,93800.00000000001
奇骏,2020-12-1 0:0:0,33544,188800.0,273300.0
逸动,2020-12-1 0:0:0,33406,72900.0,103900.0
宝马3系,2020-12-1 0:0:0,33277,293900.0,409900.0
奥迪A6L,2020-12-1 0:0:0,33182,419799.99999999994,653800.0
天籁,2020-12-1 0:0:0,31489,179800.0,269800.0
缤越,2020-12-1 0:0:0,31389,75800.0,119800.0
捷途X70,2020-12-1 0:0:0,31280,69900.0,122899.99999999999
奥迪A4L,2020-12-1 0:0:0,31186,305800.0,396800.0
荣威Ei5,2020-12-1 0:0:0,30980,128800.00000000001,161100.0
奔驰GLC,2020-12-1 0:0:0,29677,394799.99999999994,587800.0
途观L,2020-12-1 0:0:0,28861,215799.99999999997,285800.0
奔驰E级,2020-12-1 0:0:0,28771,430800.0,642800.0
奔驰C级,2020-12-1 0:0:0,28313,307800.0,474799.99999999994
星瑞,2020-12-1 0:0:0,26237,113699.99999999999,152700.0
奥迪Q5L,2020-12-1 0:0:0,26100,387800.0,498000.0
亚洲龙,2020-12-1 0:0:0,25465,199800.0,289800.0
君威,2020-12-1 0:0:0,25016,188800.0,249800.0
传祺GS4,2020-12-1 0:0:0,24929,89800.0,139800.0
轩逸,2021-1-1 0:0:0,84632,99800.0,143000.0
哈弗H6,2021-1-1 0:0:0,78078,98000.0,154900.0
卡罗拉,2021-1-1 0:0:0,61409,109800.0,159800.0
宏光MINIEV,2021-1-1 0:0:0,56929,28800.0,43600.0
速腾,2021-1-1 0:0:0,56126,129900.0,192900.0
宝来,2021-1-1 0:0:0,55920,98800.00000000001,157000.0
朗逸,2021-1-1 0:0:0,55557,99900.0,161900.0
长安CS75 PLUS,2021-1-1 0:0:0,53593,106900.0,154900.0
英朗,2021-1-1 0:0:0,52988,119900.0,125900.0
博越,2021-1-1 0:0:0,44578,89800.0,146800.0
本田CR-V,2021-1-1 0:0:0,42785,169800.0,276800.0
雷凌,2021-1-1 0:0:0,42724,113800.00000000001,152800.0
帝豪,2021-1-1 0:0:0,35863,62800.0,91800.0
逸动,2021-1-1 0:0:0,35545,72900.0,103900.0
迈腾,2021-1-1 0:0:0,34753,186900.0,309900.0
汉,2021-1-1 0:0:0,34262,219800.0,279500.0
缤智,2021-1-1 0:0:0,31631,127800.0,176800.0
宝马5系,2021-1-1 0:0:0,30477,421900.0,549900.0
宝马3系,2021-1-1 0:0:0,30275,293900.0,409900.0
奥迪A4L,2021-1-1 0:0:0,29970,305800.0,396800.0
雅阁,2021-1-1 0:0:0,28857,179800.0,259800.0
奥迪Q5L,2021-1-1 0:0:0,28484,387800.0,498000.0
RAV4荣放,2021-1-1 0:0:0,28359,174800.0,259800.0
别克GL8,2021-1-1 0:0:0,27264,232900.0,533900.0
皓影,2021-1-1 0:0:0,27170,169800.0,252800.0
奥迪A6L,2021-1-1 0:0:0,27099,419799.99999999994,653800.0
本田XR-V,2021-1-1 0:0:0,26637,127899.99999999999,175900.0
奔驰C级,2021-1-1 0:0:0,26600,307800.0,474799.99999999994
缤越,2021-1-1 0:0:0,26289,75800.0,119800.0
逍客,2021-1-1 0:0:0,26249,154900.0,188900.0
哈弗M6,2021-1-1 0:0:0,24864,66000.0,92899.99999999999
奔驰E级,2021-1-1 0:0:0,24632,430800.0,642800.0
凯美瑞,2021-1-1 0:0:0,24539,179800.0,279800.0
奔驰GLC,2021-1-1 0:0:0,24420,394799.99999999994,587800.0
亚洲龙,2021-1-1 0:0:0,24361,199800.0,289800.0
瑞虎8,2021-1-1 0:0:0,24307,88800.00000000001,159900.0
昂科威,2021-1-1 0:0:0,23816,189899.99999999997,279900.0
长安欧尚X5,2021-1-1 0:0:0,23532,69900.0,102899.99999999999
长安CS55PLUS,2021-1-1 0:0:0,23076,92899.99999999999,116900.0
桑塔纳,2021-1-1 0:0:0,22605,86900.0,115900.0
伊兰特,2021-1-1 0:0:0,22449,99800.0,141800.0
星瑞,2021-1-1 0:0:0,21439,113699.99999999999,152700.0
天籁,2021-1-1 0:0:0,21378,179800.0,269800.0
长安CS75,2021-1-1 0:0:0,21275,103900.0,121900.0
红旗HS5,2021-1-1 0:0:0,20844,183800.0,249800.0
奇骏,2021-1-1 0:0:0,20777,188800.0,273300.0
思域,2021-1-1 0:0:0,20693,119900.0,169899.99999999997
宋,2021-1-1 0:0:0,20620,69800.0,93800.00000000001
荣威Ei5,2021-1-1 0:0:0,19968,128800.00000000001,161100.0
传祺GS4,2021-1-1 0:0:0,19286,89800.0,139800.0
轩逸,2021-2-1 0:0:0,66669,99800.0,143000.0
哈弗H6,2021-2-1 0:0:0,66575,98000.0,154900.0
英朗,2021-2-1 0:0:0,63637,119900.0,125900.0
宏光MINIEV,2021-2-1 0:0:0,59912,28800.0,43600.0
卡罗拉,2021-2-1 0:0:0,59599,109800.0,159800.0
宝来,2021-2-1 0:0:0,54813,98800.00000000001,157000.0
朗逸,2021-2-1 0:0:0,54387,99900.0,161900.0
速腾,2021-2-1 0:0:0,51530,129900.0,192900.0
本田CR-V,2021-2-1 0:0:0,50387,169800.0,276800.0
长安CS75 PLUS,2021-2-1 0:0:0,47911,106900.0,154900.0
Model 3,2021-2-1 0:0:0,39015,266700.0,339900.0
雷凌,2021-2-1 0:0:0,33720,113800.00000000001,152800.0
RAV4荣放,2021-2-1 0:0:0,30810,174800.0,259800.0
博越,2021-2-1 0:0:0,29473,89800.0,146800.0
奥迪Q5L,2021-2-1 0:0:0,29407,387800.0,498000.0
逸动,2021-2-1 0:0:0,29003,72900.0,103900.0
宝马5系,2021-2-1 0:0:0,28538,421900.0,549900.0
本田XR-V,2021-2-1 0:0:0,28411,127899.99999999999,175900.0
途观L,2021-2-1 0:0:0,28313,215799.99999999997,285800.0
皓影,2021-2-1 0:0:0,27980,169800.0,252800.0
迈腾,2021-2-1 0:0:0,27769,186900.0,309900.0
宝马3系,2021-2-1 0:0:0,27426,293900.0,409900.0
缤智,2021-2-1 0:0:0,27031,127800.0,176800.0
奥迪A6L,2021-2-1 0:0:0,26426,419799.99999999994,653800.0
雅阁,2021-2-1 0:0:0,26133,179800.0,259800.0
五菱宏光,2021-2-1 0:0:0,26067,45800.0,58800.0
别克GL8,2021-2-1 0:0:0,25973,232900.0,533900.0
奔驰C级,2021-2-1 0:0:0,25305,307800.0,474799.99999999994
帝豪,2021-2-1 0:0:0,24548,62800.0,91800.0
奥迪A4L,2021-2-1 0:0:0,24424,305800.0,396800.0
亚洲龙,2021-2-1 0:0:0,24387,199800.0,289800.0
奔驰GLC,2021-2-1 0:0:0,24259,394799.99999999994,587800.0
奔驰E级,2021-2-1 0:0:0,23947,430800.0,642800.0
探岳,2021-2-1 0:0:0,23240,186900.0,264900.0
宝马X3,2021-2-1 0:0:0,22280,389799.99999999994,479799.99999999994
星瑞,2021-2-1 0:0:0,21635,113699.99999999999,152700.0
长安欧尚X5,2021-2-1 0:0:0,21296,69900.0,102899.99999999999
瑞虎8,2021-2-1 0:0:0,21096,88800.00000000001,159900.0
荣威Ei5,2021-2-1 0:0:0,20989,128800.00000000001,161100.0
哈弗M6,2021-2-1 0:0:0,20870,66000.0,92899.99999999999
长安CS55PLUS,2021-2-1 0:0:0,20830,92899.99999999999,116900.0
缤越,2021-2-1 0:0:0,20782,75800.0,119800.0
汉,2021-2-1 0:0:0,20379,219800.0,279500.0
逍客,2021-2-1 0:0:0,20322,154900.0,188900.0
凯美瑞,2021-2-1 0:0:0,19715,179800.0,279800.0
思域,2021-2-1 0:0:0,19268,119900.0,169899.99999999997
名爵5,2021-2-1 0:0:0,18432,67900.0,104900.0
红旗HS5,2021-2-1 0:0:0,18163,183800.0,249800.0
途岳,2021-2-1 0:0:0,17697,165799.99999999997,223800.0
帕萨特,2021-2-1 0:0:0,17634,185900.0,282900.0
轩逸,2021-3-1 0:0:0,82186,99800.0,143000.0
朗逸,2021-3-1 0:0:0,72184,99900.0,161900.0
宏光MINIEV,2021-3-1 0:0:0,68996,28800.0,43600.0
哈弗H6,2021-3-1 0:0:0,62884,98000.0,154900.0
卡罗拉,2021-3-1 0:0:0,59005,109800.0,159800.0
本田CR-V,2021-3-1 0:0:0,58684,169800.0,276800.0
宝来,2021-3-1 0:0:0,51913,98800.00000000001,157000.0
英朗,2021-3-1 0:0:0,49149,119900.0,125900.0
Model 3,2021-3-1 0:0:0,45765,266700.0,339900.0
速腾,2021-3-1 0:0:0,41733,129900.0,192900.0
雅阁,2021-3-1 0:0:0,41511,179800.0,259800.0
长安CS75 PLUS,2021-3-1 0:0:0,41343,106900.0,154900.0
五菱宏光,2021-3-1 0:0:0,41305,45800.0,58800.0
雷凌,2021-3-1 0:0:0,40080,113800.00000000001,152800.0
本田XR-V,2021-3-1 0:0:0,39776,127899.99999999999,175900.0
博越,2021-3-1 0:0:0,37099,89800.0,146800.0
RAV4荣放,2021-3-1 0:0:0,36869,174800.0,259800.0
宝马3系,2021-3-1 0:0:0,35056,293900.0,409900.0
思域,2021-3-1 0:0:0,33648,119900.0,169899.99999999997
皓影,2021-3-1 0:0:0,32694,169800.0,252800.0
途观L,2021-3-1 0:0:0,32633,215799.99999999997,285800.0
凯美瑞,2021-3-1 0:0:0,32447,179800.0,279800.0
奥迪A6L,2021-3-1 0:0:0,32044,419799.99999999994,653800.0
逸动,2021-3-1 0:0:0,30924,72900.0,103900.0
奥迪Q5L,2021-3-1 0:0:0,30378,387800.0,498000.0
奔驰C级,2021-3-1 0:0:0,29805,307800.0,474799.99999999994
迈腾,2021-3-1 0:0:0,29554,186900.0,309900.0
宝马5系,2021-3-1 0:0:0,29548,421900.0,549900.0
奔驰GLC,2021-3-1 0:0:0,29539,394799.99999999994,587800.0
奥迪A4L,2021-3-1 0:0:0,29375,305800.0,396800.0
别克GL8,2021-3-1 0:0:0,29004,232900.0,533900.0
帝豪,2021-3-1 0:0:0,28687,62800.0,91800.0
缤智,2021-3-1 0:0:0,28538,127800.0,176800.0
奔驰E级,2021-3-1 0:0:0,27715,430800.0,642800.0
宝马X3,2021-3-1 0:0:0,26484,389799.99999999994,479799.99999999994
瑞虎8,2021-3-1 0:0:0,25981,88800.00000000001,159900.0
荣威Ei5,2021-3-1 0:0:0,25186,128800.00000000001,161100.0
星瑞,2021-3-1 0:0:0,24743,113699.99999999999,152700.0
亚洲龙,2021-3-1 0:0:0,23407,199800.0,289800.0
逍客,2021-3-1 0:0:0,23033,154900.0,188900.0
宋,2021-3-1 0:0:0,23001,69800.0,93800.00000000001
哈弗M6,2021-3-1 0:0:0,22517,66000.0,92899.99999999999
途岳,2021-3-1 0:0:0,22317,165799.99999999997,223800.0
奇骏,2021-3-1 0:0:0,22101,188800.0,273300.0
长安CS55PLUS,2021-3-1 0:0:0,22075,92899.99999999999,116900.0
长安欧尚X5,2021-3-1 0:0:0,22070,69900.0,102899.99999999999
桑塔纳,2021-3-1 0:0:0,21534,86900.0,115900.0
红旗HS5,2021-3-1 0:0:0,21286,183800.0,249800.0
威兰达,2021-3-1 0:0:0,21084,171800.0,241800.0
探岳,2021-3-1 0:0:0,20674,186900.0,264900.0
